Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_N2_[-]
220.0,146.64351820154292,1.7215030193560328,19.573205784241985,0.7436147984518664,0.2180280698004451,982.6207469352519,370.9652311930711,1.1433899820745006
220.0,146.92356477597826,1.711106060638731,19.61095494267188,0.7430634324270317,0.2183425980794846,982.2275698593915,371.828791082181,1.1421452294754957
220.0,147.20337957356787,1.700756811604461,19.648683068285035,0.7425120664021969,0.21865772654659796,981.8342805399219,372.69167339808763,1.1409094916784388
220.0,147.48296113008232,1.6904551068844371,19.686391363343382,0.7419607003773623,0.21897345185205422,981.440878426177,373.5538739491869,1.1396878051437598
220.0,147.76230798163786,1.680200780781351,19.724081023767635,0.7414093343525276,0.21928977068829072,981.0473629658455,374.4153886203236,1.138472069455153
220.0,148.04141866479546,1.6699936672597224,19.762365480266396,0.7408579683276928,0.21960667978962595,980.6537336049997,375.27621337240066,1.1372622611127912
220.0,148.32029171658584,1.6598336005920244,19.800672666843326,0.7403066023028582,0.21992417593195898,980.2599897880931,376.1363442418368,1.1360583565963092
220.0,148.59892567462822,1.6497204165261365,19.838960766993004,0.7397552362780235,0.22024225593250563,979.8661309580009,376.9957773402029,1.1348603323478303
220.0,148.87731907711014,1.6396539538515973,19.877230986339672,0.7392038702531888,0.22056091664942795,979.4721565560118,377.85450885360143,1.1336781831611726
220.0,149.1554704628965,1.6296340548639678,19.915603064209733,0.738652504228354,0.22088015498156616,979.0780660218518,378.7125350422138,1.13250231569809
220.0,149.4333783715837,1.6196609110387175,19.95425428162887,0.7381011382035194,0.22119996786814602,978.6838587937015,379.5698522398542,1.1313321391855282
220.0,149.71104134356992,1.6097336356974767,19.993133334790315,0.7375497721786848,0.2215203522884636,978.2895343082184,380.42645685343695,1.1301676245870904
220.0,149.98845792006227,1.5998524355295753,20.031995258019677,0.7369984061538499,0.22184130526152973,977.8950920005295,381.28234536236357,1.1290087525654844
220.0,150.2656266432165,1.5900171436462551,20.07084124259,0.7364470401290153,0.22216282384587172,977.5005313042789,382.1375143182116,1.127863766960479
220.0,150.54254605608645,1.5802275953966323,20.10994949334107,0.7358956741041807,0.22248490513907734,977.1058516516043,382.99196034394794,1.1267263301207846
220.0,150.8192147027738,1.5704835300295308,20.149115592725224,0.7353443080793459,0.2228075462775994,976.7110524731835,383.8456801336089,1.125594351129833
220.0,151.09563112841644,1.5607849827636318,20.188455325510034,0.7347929420545112,0.22313074443635494,976.3161331982263,384.69867045158446,1.1244678069538192
220.0,151.37179387930715,1.5511316945512303,20.227904769766962,0.7342415760296765,0.22345449682851654,975.9210932545116,385.550928132296,1.1233466771814786
220.0,151.64770150286262,1.5415235073995228,20.267440395745638,0.7336902100048418,0.22377880070506967,975.5259320683731,386.4024500793762,1.1222391801346132
220.0,151.9233525477632,1.5319602648949753,20.307212964375367,0.7331388439800071,0.22410365335458898,975.1306490647385,387.25323326532447,1.1211387756792794
220.0,152.19874556392867,1.522442147516536,20.34697171266735,0.7325874779551724,0.22442905210289843,974.7352436671252,388.1032747308649,1.120043600797392
220.0,152.47387910260323,1.5129683004010523,20.38675717196555,0.7320361119303378,0.22475499431270857,974.3397152976584,388.95257158433265,1.1189536451189086
220.0,152.74875171641034,1.503538945341467,20.426807834935126,0.731484745905503,0.22508147738335982,973.944063377093,389.8011210012158,1.117868885658715
220.0,153.02336195939876,1.4941538963688608,20.46713557026664,0.7309333798806683,0.22540849875049415,973.5482873248151,390.6489202235301,1.1167990306502225
220.0,153.29770838704619,1.4848129961084973,20.507512364929596,0.7303820138558337,0.22573605588564594,973.1523865588533,391.49596655914223,1.1157342994776258
220.0,153.57178955638648,1.4755160872748012,20.547877191064657,0.7298306478309989,0.22606414629606084,972.756360495904,392.3422573813849,1.114674591085561
220.0,153.84560402597245,1.4662628501529154,20.58823101296374,0.7292792818061642,0.22639276752428858,972.3602085513307,393.1877901283418,1.1136198826282764
220.0,154.1191503559807,1.4570534454694153,20.628966712950447,0.7287279157813296,0.2267219171478738,971.9639301391825,394.0325623022866,1.112573163927537
220.0,154.3924271082354,1.447887565287347,20.66997261049576,0.7281765497564949,0.2270515927790435,971.5675246722068,394.8765714691197,1.111537952118158
220.0,154.66543284625456,1.438765054167814,20.71096733179234,0.7276251837316602,0.22738179206440814,971.1709915618593,395.7198152577829,1.1105075774223698
220.0,154.93816613523896,1.4296857569955725,20.751952111951145,0.7270738177068254,0.22771251268453613,970.7743302182972,396.5622913595103,1.1094820218741959
220.0,155.2106255422316,1.4206495412527824,20.79293896436844,0.7265224516819908,0.22804375235382887,970.377540050434,397.4039975275735,1.1084612666586604
220.0,155.48280963603082,1.4116560966125604,20.834435100876675,0.7259710856571561,0.22837550881998264,969.9806204658993,398.24493157629485,1.1074525300763416
220.0,155.75471698735103,1.4027054915418737,20.876069747959733,0.7254197196323213,0.22870777986386245,969.5835708710981,399.0850913808082,1.106450592985683
220.0,156.0263461687332,1.3937974422804575,20.917696128630688,0.7248683536074867,0.22904056329900652,969.1863906711726,399.92447487612554,1.1054532980858358
220.0,156.29769575471394,1.3849318789826133,20.959314416007885,0.7243169875826521,0.22937385697145837,968.789079270059,400.7630800568405,1.1044606288090675
220.0,156.56876432173996,1.3761086052176246,21.00117478680422,0.7237656215578173,0.22970765875932453,968.391636070457,401.6009049762675,1.1034759254959845
220.0,156.83955044831325,1.3673274685462602,21.043271152108844,0.7232142555329826,0.230041966572563,967.9940604738728,402.4379477460702,1.1025015564753702
220.0,157.11005271495983,1.3585883167984678,21.08554940247742,0.7226628895081479,0.23037677835257755,967.5963518806067,403.2742065354811,1.1015316572393026
220.0,157.38026970427404,1.3498909986139116,21.127820594824737,0.7221115234833132,0.2307120920719544,967.1985096897706,404.10967957079487,1.1005662119121606
220.0,157.6502000009822,1.3412352681355497,21.170235397279523,0.7215601574584785,0.2310479057341266,966.8005332992998,404.9443651347511,1.0996059777263714
220.0,157.91984219196607,1.332621073883669,21.2128526581847,0.7210087914336438,0.2313842173730684,966.4024221059615,405.77826156593943,1.0986583509155705
220.0,158.189194866255,1.3240479511298995,21.25559173457052,0.7204574254088092,0.23172102505294578,966.0041755053513,406.611367258126,1.0977149577697896
