Temperature_[K],Pressure_[bar],Surface_Tension_[mN/m],Interfacial_Thickness_[Å],x_CO2,y_CO2,liquid_density_[kg/m3],vapor_density_[kg/m3],Enrichment_AR_[-]
223.07,65.08380203419506,6.260256039206312,12.000896122266324,0.846794743107397,0.18400503207690216,1111.3230960165606,185.51490115243118,2.0107320374481583
223.07,65.51540558019728,6.21244148710706,12.04762983951251,0.8455884025019433,0.1836518912556532,1110.9896140946933,187.06728942871638,2.0042712234881543
223.07,65.94660547269471,6.16485991284898,12.094205715675868,0.8443820618964898,0.18330986705581104,1110.6552208727364,188.62430893010225,1.9978532675193712
223.07,66.37740250373476,6.117510464673176,12.141594012425081,0.8431757212910362,0.18297877964999085,1110.3199137296328,190.185987509453,1.9914777812625555
223.07,66.80779747161358,6.070392570343692,12.188953890707312,0.8419693806855827,0.1826584546433015,1109.9836900392727,191.75235303294608,1.985144382661088
223.07,67.23779118063182,6.023505390985254,12.236587877330713,0.8407630400801291,0.1823487228892306,1109.6465471704787,193.32343337147196,1.978852689140826
223.07,67.66738444089114,5.976848176574771,12.284736488389726,0.8395566994746755,0.18204942031293372,1109.3084824869813,194.89925639169013,1.9726023244736641
223.07,68.09657806811742,5.9304202056415125,12.332691638801641,0.8383503588692219,0.18176038774154496,1108.9694933474013,196.47984994677944,1.9663929153007151
223.07,68.52537288337193,5.884220760094073,12.381099057790793,0.8371440182637684,0.18148147074115983,1108.6295771052196,198.06524186683293,1.9602240917410199
223.07,68.95376971288249,5.838249128069095,12.429701900550683,0.8359376776583148,0.18121251946019762,1108.288731108749,199.6554599488906,1.954095487509211
223.07,69.38176938775554,5.792504605583353,12.478115324188764,0.8347313370528613,0.18095338847882111,1107.9469527011079,201.25053194665043,1.9480067398912937
223.07,69.8093727437301,5.746986496813401,12.527318763094726,0.8335249964474076,0.18070393666413637,1107.6042392201769,202.85048555976806,1.9419574896984169
223.07,70.23658062093622,5.701694114008759,12.576484045530185,0.8323186558419542,0.18046402703090808,1107.260587998568,204.45534842282268,1.9359473812270558
223.07,70.66339386359058,5.656626777318185,12.625993800440106,0.8311123152365005,0.18023352660751782,1106.9159963635802,206.06514809388756,1.9299760622380702
223.07,71.08981331973322,5.611783816942877,12.676017503441898,0.829905974631047,0.18001230630692278,1106.5704616371486,207.67991204269043,1.9240431839261072
223.07,71.51583984093249,5.567164588381762,12.725850151432162,0.8286996340255934,0.1798002408024018,1106.223981135808,209.29966763842464,1.9181484019413184
223.07,71.94147428196415,5.5227683440978375,12.776202311014657,0.8274932934201399,0.17959720840783663,1105.876552170624,210.92444213708188,1.9122913747554189
223.07,72.36671750050365,5.478594611215238,12.826675674086623,0.8262869528146863,0.17940309096234908,1105.5281720471469,212.5542626684502,1.9064717597506962
223.07,72.79157035679862,5.434642646799609,12.877061945885238,0.8250806122092327,0.1792177737190852,1105.178838065349,214.18915622264856,1.9006892243304032
223.07,73.21603371332266,5.390911818879673,12.928176699415395,0.8238742716037791,0.17904114523793405,1104.8285475195496,215.82914963621516,1.894943436109335
223.07,73.64010843441763,5.3474015128927626,12.979321608178502,0.8226679309983256,0.17887309728204037,1104.4772976983486,217.4742695777916,1.8892340659676075
223.07,74.06379538594,5.30411116455189,13.0309304547876,0.821461590392872,0.17871352471791388,1104.125085884554,219.1245425333591,1.8835607904293397
223.07,74.4870954348503,5.261040098224993,13.082823792245229,0.8202552497874185,0.17856232541897793,1103.771909355092,220.77999479101027,1.8779232859442405
